PT101,FT101,TT101,Fault_Code
1.04,106.74,31.31,0
1.01,108.21,27.89,0
0.99,100.15,28.97,0
0.94,104.63,27.14,0
0.9,104.85,30.12,0
0.95,114.49,28.75,0
1.09,107.42,31.75,0
0.96,104.26,29.13,0
1.03,117.54,26.12,0
0.98,108.0,27.52,0
1.09,101.77,26.37,0
0.94,114.23,28.61,0
0.91,100.03,28.08,0
0.98,105.92,27.06,0
0.96,110.73,25.87,0
1.02,112.66,25.39,0
0.92,112.32,29.52,0
0.99,108.78,30.82,0
0.98,114.22,26.35,0
0.98,100.76,29.52,0
1.03,103.08,28.67,0
1.08,110.53,27.89,0
1.05,102.47,27.24,0
1.04,116.19,30.91,0
1.08,107.37,29.33,0
0.91,104.01,26.91,0
0.97,101.24,27.27,0
0.92,110.3,30.24,0
1.08,107.89,26.04,0
1.02,100.39,26.13,0
1.03,109.42,29.3,0
0.97,117.66,29.68,0
1.07,104.32,31.76,0
1.04,103.6,26.24,0
0.94,103.21,27.92,0
0.93,107.51,26.91,0
1.09,117.76,31.96,0
1.01,101.74,31.14,0
0.94,118.06,31.8,0
1.03,119.26,30.04,0
0.94,115.56,28.76,0
1.0,107.13,25.66,0
0.96,113.34,30.5,0
1.02,117.72,30.4,0
1.03,108.53,25.51,0
0.99,114.22,31.02,0
0.97,100.7,30.67,0
1.04,113.44,30.39,0
1.07,102.43,26.92,0
0.94,108.85,27.28,0
0.98,103.38,26.79,0
0.96,103.32,26.34,0
1.07,102.94,26.3,0
1.04,102.04,27.14,0
1.02,116.92,29.74,0
0.92,101.71,31.57,0
0.96,119.63,28.16,0
0.98,108.62,25.25,0
1.07,115.36,30.02,0
1.09,113.95,31.6,0
1.02,114.69,29.47,0
0.99,109.63,27.29,0
0.96,111.4,26.89,0
1.06,111.37,26.73,0
1.1,108.53,27.44,0
1.06,111.5,30.07,0
0.96,116.47,28.74,0
1.1,105.28,29.0,0
1.09,112.88,29.66,0
0.94,111.22,30.73,0
0.93,110.73,26.57,0
0.91,102.77,28.05,0
1.09,115.33,27.33,0
1.03,116.24,28.4,0
0.99,106.68,27.15,0
1.01,105.53,31.73,0
1.02,117.21,27.41,0
0.96,109.35,25.27,0
1.02,116.98,31.1,0
0.94,104.88,25.07,0
1.08,112.15,25.67,0
0.96,100.41,26.21,0
1.05,103.38,31.93,0
0.91,101.28,31.99,0
0.91,111.65,26.97,0
1.09,107.15,28.4,0
0.94,114.17,26.31,0
1.07,113.3,26.83,0
1.03,111.53,31.76,0
1.05,118.0,28.02,0
0.95,106.46,25.78,0
1.01,110.32,31.71,0
0.98,116.65,27.29,0
0.92,116.71,29.18,0
0.94,114.84,27.53,0
1.08,107.05,27.52,0
1.02,112.79,30.92,0
0.95,106.22,25.31,0
0.92,111.52,27.02,0
1.02,106.43,26.12,0
1.02,100.85,26.88,0
1.07,116.54,30.56,0
1.05,119.89,25.89,0
1.06,114.98,26.2,0
0.92,113.64,29.05,0
1.07,109.87,28.52,0
0.97,106.96,31.92,0
0.93,102.5,28.6,0
0.92,111.95,27.77,0
1.1,112.37,31.38,0
0.99,103.21,29.74,0
1.03,109.8,25.37,0
0.9,106.83,27.99,0
1.05,113.98,27.56,0
1.0,101.87,31.35,0
1.06,102.51,29.9,0
0.91,120.0,30.86,0
1.01,117.23,26.94,0
1.07,113.99,27.44,0
1.09,101.47,27.99,0
0.99,105.38,29.84,0
0.91,112.49,25.07,0
1.01,101.13,29.67,0
1.07,105.71,28.87,0
1.01,102.9,25.08,0
0.96,111.79,29.25,0
1.0,118.52,26.44,0
0.92,101.2,25.32,0
0.9,114.99,28.27,0
1.04,104.46,25.8,0
0.98,103.73,26.53,0
1.04,108.17,30.55,0
0.96,107.7,31.39,0
0.97,101.83,31.94,0
1.04,104.02,29.95,0
0.96,103.27,26.18,0
1.04,108.8,27.57,0
0.96,102.62,30.38,0
1.03,102.14,27.21,0
0.96,113.34,27.31,0
0.99,118.38,30.44,0
1.03,103.6,25.32,0
1.02,105.51,29.18,0
0.9,107.05,31.99,0
0.95,106.54,28.86,0
0.95,102.68,27.72,0
0.95,115.18,28.16,0
1.0,105.7,26.96,0
0.91,118.47,30.56,0
0.92,117.29,25.75,0
0.9,102.86,30.51,0
1.08,115.48,30.03,0
1.06,104.87,25.34,0
1.03,113.25,31.01,0
0.92,114.12,26.47,0
0.95,105.29,25.89,0
0.99,112.43,27.78,0
1.0,119.08,26.85,0
1.07,119.48,30.92,0
0.93,119.59,28.29,0
1.06,119.42,26.46,0
1.09,112.35,26.67,0
0.92,113.56,28.11,0
1.0,115.13,29.89,0
1.03,103.3,26.46,0
0.97,117.2,25.12,0
0.91,107.16,28.0,0
1.07,102.43,28.89,0
0.91,100.48,28.76,0
0.95,115.47,28.05,0
1.06,104.25,31.55,0
1.06,106.46,31.59,0
0.92,111.36,25.06,0
0.98,111.4,28.11,0
1.03,111.91,28.96,0
0.95,112.27,28.61,0
0.96,119.43,28.29,0
1.02,100.77,25.29,0
1.02,115.31,28.49,0
1.07,107.29,31.45,0
0.92,110.93,26.19,0
0.96,112.48,31.25,0
1.07,104.86,26.35,0
0.97,107.2,26.58,0
0.98,110.95,27.92,0
1.06,111.75,30.17,0
1.09,108.31,31.38,0
1.06,117.78,26.04,0
0.98,104.26,25.49,0
0.94,105.58,27.45,0
1.09,113.45,31.04,0
0.95,113.73,26.41,0
0.98,102.47,30.45,0
1.01,114.85,31.4,0
1.08,116.71,25.48,0
1.06,116.2,26.52,0
0.98,118.52,30.03,0
1.05,105.47,26.6,0
1.0,103.23,29.86,0
1.08,106.8,27.17,0
1.02,118.02,27.11,0
1.06,103.03,31.86,0
1.01,100.66,31.74,0
0.98,113.87,25.8,0
1.07,118.67,30.92,0
1.08,118.93,30.28,0
0.95,119.83,25.39,0
1.01,102.52,25.86,0
1.01,107.74,26.82,0
1.0,106.49,28.11,0
0.98,103.93,29.29,0
0.92,104.21,25.59,0
0.95,101.79,26.53,0
1.02,100.23,29.66,0
0.92,117.95,28.52,0
1.1,103.27,27.74,0
0.97,107.99,27.06,0
0.98,115.09,31.47,0
1.09,117.34,31.42,0
0.96,114.9,27.14,0
0.93,111.35,31.63,0
0.99,112.84,30.33,0
0.95,118.14,29.1,0
0.95,107.95,30.02,0
1.07,104.9,28.74,0
1.05,103.7,30.83,0
0.91,114.48,31.08,0
0.97,117.4,29.08,0
1.03,109.82,27.64,0
0.97,107.32,30.38,0
1.06,107.95,30.45,0
0.98,116.03,26.04,0
0.91,114.19,27.66,0
1.09,109.28,27.37,0
1.05,104.45,27.44,0
0.99,109.02,28.92,0
0.98,101.68,25.69,0
1.09,103.92,31.16,0
1.05,101.05,25.29,0
0.96,112.81,27.86,0
1.05,117.47,26.81,0
1.07,114.07,27.99,0
0.92,112.03,28.06,0
1.06,116.54,30.61,0
0.95,108.03,31.83,0
1.04,101.37,25.57,0
0.96,110.36,26.52,0
0.99,111.1,31.68,0
1.09,114.21,31.61,0
0.98,107.72,29.94,0
1.04,101.1,30.47,0
0.97,116.49,31.2,0
1.03,102.27,28.65,0
1.05,102.91,26.73,0
0.97,113.37,25.6,0
0.91,100.17,28.62,0
0.93,107.77,26.6,0
0.97,105.37,26.84,0
1.02,112.71,28.32,0
1.07,109.11,31.8,0
0.96,109.52,26.79,0
0.91,100.77,26.42,0
0.97,100.8,27.83,0
1.03,108.25,29.46,0
0.92,107.96,29.26,0
0.98,116.99,26.7,0
1.05,119.3,31.68,0
1.05,107.21,28.98,0
0.97,116.15,30.91,0
0.95,119.37,27.45,0
1.07,103.36,27.82,0
1.06,115.56,29.28,0
1.03,101.79,30.74,0
0.92,108.14,31.56,0
0.91,104.1,25.74,0
1.08,106.69,26.91,0
1.03,107.97,31.08,0
0.91,110.62,27.23,0
1.06,100.2,28.96,0
0.98,100.82,26.75,0
0.97,117.56,28.09,0
1.09,108.26,30.25,0
0.94,114.26,26.8,0
0.94,111.57,31.43,0
1.06,105.35,28.96,0
0.95,113.96,27.63,0
1.06,105.4,28.4,0
1.0,114.59,28.94,0
0.9,112.56,28.16,0
0.94,101.21,31.28,0
1.0,115.85,25.36,0
1.04,117.11,26.58,0
1.03,111.59,29.64,0
0.93,110.97,28.26,0
0.97,113.95,26.24,0
1.0,107.02,31.98,0
1.03,115.14,29.33,0
0.91,110.52,26.26,0
0.93,102.47,26.02,0
0.95,119.29,28.27,0
0.97,104.36,31.19,0
1.08,107.11,26.73,0
1.06,106.01,29.62,0
1.05,104.72,28.44,0
1.07,116.56,30.55,0
0.93,112.94,26.97,0
1.03,113.83,31.72,0
0.98,105.04,27.17,0
1.04,103.4,28.93,0
0.99,107.19,27.54,0
0.99,111.3,27.98,0
1.03,110.32,27.96,0
0.99,108.05,29.34,0
0.93,110.63,31.26,0
1.04,101.92,25.16,0
0.9,100.74,30.63,0
1.03,117.81,31.94,0
0.9,117.08,26.96,0
1.02,114.09,31.58,0
1.03,119.21,31.36,0
0.94,116.92,27.56,0
1.09,107.77,28.58,0
1.09,114.65,27.37,0
1.0,118.34,30.47,0
1.06,105.26,30.45,0
0.91,111.46,27.37,0
1.06,108.13,26.63,0
1.02,116.46,28.3,0
1.04,107.84,26.78,0
0.94,102.16,28.64,0
0.93,101.87,29.9,0
0.93,109.73,31.81,0
0.99,107.75,26.67,0
0.95,115.64,29.28,0
1.02,110.05,25.62,0
0.97,118.4,27.0,0
0.99,108.41,31.73,0
0.99,109.36,28.31,0
1.0,102.27,25.23,0
1.0,112.2,29.7,0
0.91,100.82,25.64,0
1.07,104.31,26.94,0
1.02,105.79,27.72,0
0.93,110.37,30.49,0
0.94,104.61,31.62,0
0.9,102.69,30.69,0
1.07,116.19,30.3,0
0.97,110.53,29.64,0
0.97,115.29,30.76,0
0.92,105.07,26.36,0
0.97,119.72,29.74,0
1.09,103.93,27.7,0
1.09,109.65,27.7,0
1.03,109.47,25.17,0
0.97,103.42,30.6,0
0.97,115.39,31.22,0
1.01,103.61,31.43,0
1.02,119.27,25.08,0
0.98,118.71,29.73,0
0.92,103.1,30.38,0
1.06,115.43,25.85,0
1.03,110.67,29.91,0
1.08,113.0,26.82,0
1.09,102.24,27.74,0
1.02,112.3,25.82,0
1.01,115.77,25.29,0
0.96,115.97,27.45,0
1.04,119.6,26.65,0
1.02,114.71,28.09,0
0.97,112.26,28.69,0
1.08,108.17,27.9,0
0.95,114.55,28.34,0
1.03,118.87,26.04,0
0.91,111.65,27.33,0
1.08,119.36,29.33,0
1.02,100.83,30.68,0
0.9,103.5,29.27,0
0.91,102.42,30.11,0
1.04,101.95,26.56,0
1.08,108.01,25.7,0
0.91,100.57,26.56,0
1.01,111.71,29.04,0
1.0,111.49,25.98,0
0.91,104.01,27.71,0
1.09,105.91,29.19,0
0.96,117.19,31.56,0
0.98,109.49,30.4,0
0.92,111.78,31.96,0
1.0,106.27,26.9,0
0.91,107.4,27.3,0
0.94,106.64,25.86,0
0.91,104.83,30.02,0
0.92,105.02,28.26,0
1.08,107.19,25.66,0
1.04,116.15,27.31,0
1.07,107.23,31.67,0
0.98,112.63,26.87,0
0.95,112.21,28.68,0
1.09,105.77,28.27,0
1.08,106.53,25.08,0
1.01,110.5,28.71,0
0.98,112.66,27.72,0
1.04,119.35,27.48,0
1.01,119.06,29.28,0
1.01,110.09,29.28,0
0.99,111.92,27.42,0
0.98,104.02,31.78,0
0.92,108.56,27.28,0
0.93,116.15,28.07,0
0.93,107.54,29.88,0
1.08,106.56,28.9,0
1.06,105.56,26.25,0
0.94,113.84,30.03,0
1.08,103.6,26.57,0
0.94,112.75,28.37,0
1.01,114.82,26.77,0
1.01,111.71,29.34,0
1.0,101.65,26.66,0
1.02,119.43,26.66,0
0.92,104.59,29.48,0
0.95,106.52,26.38,0
1.09,104.97,28.44,0
1.03,115.09,26.69,0
0.92,119.19,27.54,0
1.09,101.45,25.81,0
1.04,113.81,31.04,0
0.95,102.93,31.43,0
1.06,115.1,29.5,0
1.08,119.71,29.79,0
0.99,112.3,31.06,0
0.91,111.86,28.08,0
1.08,104.57,25.77,0
1.03,109.46,28.08,0
0.94,110.98,27.29,0
1.08,113.79,30.73,0
1.02,101.16,27.91,0
0.96,118.82,26.3,0
0.95,110.29,29.06,0
0.97,106.14,28.67,0
0.99,110.51,28.79,0
0.94,105.06,26.32,0
0.94,107.98,29.05,0
1.01,102.48,28.49,0
1.02,107.2,25.91,0
1.08,110.03,28.21,0
0.96,111.22,28.01,0
0.97,108.76,27.42,0
1.02,112.06,31.94,0
0.97,108.54,26.23,0
0.92,117.42,29.38,0
1.03,104.24,30.56,0
0.96,117.39,28.31,0
1.02,118.37,31.61,0
0.95,114.04,31.43,0
1.09,111.66,31.38,0
0.97,115.6,30.11,0
1.03,115.83,29.09,0
1.04,101.62,29.15,0
0.91,100.92,30.07,0
1.08,110.44,28.29,0
1.03,116.24,27.58,0
0.91,118.89,30.12,0
0.97,104.59,29.05,0
0.93,117.77,25.65,0
0.95,105.91,26.04,0
0.92,111.26,30.74,0
1.02,102.62,26.68,0
1.07,104.35,27.71,0
1.02,101.01,28.72,0
1.02,103.98,29.31,0
1.01,105.73,26.91,0
0.97,113.23,27.63,0
1.0,103.68,28.39,0
0.94,106.28,25.42,0
0.98,118.81,25.53,0
0.92,101.16,30.31,0
0.95,115.97,25.33,0
1.08,116.7,30.83,0
1.09,104.1,26.46,0
0.9,107.72,27.2,0
0.94,101.42,26.85,0
0.96,119.18,30.46,0
0.96,118.49,29.67,0
0.91,102.18,27.96,0
0.99,100.1,27.25,0
1.02,111.25,25.01,0
1.03,113.62,31.8,0
1.02,115.13,26.64,0
1.01,115.1,31.12,0
1.03,117.92,29.71,0
1.03,105.59,25.71,0
1.05,106.05,27.03,0
1.1,100.69,26.0,0
1.03,117.15,31.25,0
1.01,110.33,30.72,0
1.05,105.19,25.62,0
0.9,105.29,30.97,0
0.97,108.07,30.41,0
1.04,103.21,30.09,0
0.98,119.28,26.98,0
1.02,113.66,30.35,0
1.07,107.39,26.89,0
0.95,110.13,27.9,0
1.08,106.99,25.42,0
1.01,103.68,27.84,0
0.99,112.58,28.96,0
0.97,118.4,31.66,0
1.01,118.05,28.28,0
1.01,116.52,30.38,0
0.97,115.8,27.0,0
1.0,101.93,30.84,0
0.91,104.04,30.46,0
1.02,109.74,26.59,0
1.09,101.66,28.52,0
1.03,115.13,27.15,0
0.99,110.92,30.02,0
1.07,112.96,26.53,0
1.01,107.91,31.77,0
0.92,113.99,28.07,0
1.03,102.92,31.03,0
1.02,104.6,30.41,0
1.03,118.72,25.08,0
1.02,115.96,26.42,0
1.09,100.68,27.67,0
0.9,111.19,28.19,0
0.91,113.69,31.12,0
0.96,113.61,27.67,0
0.98,102.93,25.68,0
1.05,111.3,25.48,0
1.06,107.13,29.68,0
1.07,118.72,25.62,0
0.95,110.75,25.47,0
0.95,108.13,26.74,0
1.05,116.71,25.42,0
0.94,117.62,29.16,0
1.08,111.14,31.86,0
1.01,119.83,25.68,0
1.02,100.54,29.1,0
1.02,100.06,30.6,0
1.06,112.67,31.59,0
1.1,117.13,25.63,0
0.93,116.38,25.89,0
0.99,119.83,29.39,0
0.92,108.3,30.74,0
1.08,101.8,25.28,0
0.97,117.21,28.46,0
0.96,107.41,30.22,0
0.98,100.6,26.67,0
0.93,100.87,28.21,0
0.97,116.15,30.47,0
0.96,116.27,29.22,0
1.08,119.97,30.15,0
0.96,113.22,30.34,0
0.99,106.95,27.39,0
0.95,102.62,28.04,0
1.0,100.7,28.12,0
1.08,110.51,29.06,0
1.01,103.33,27.7,0
0.95,118.5,29.06,0
0.93,105.51,28.48,0
0.98,118.2,27.65,0
1.04,105.01,31.54,0
0.99,107.38,26.23,0
1.05,106.8,29.55,0
1.05,115.29,27.8,0
1.1,118.14,27.81,0
0.98,113.71,29.44,0
0.93,106.44,26.2,0
1.01,115.71,28.07,0
1.02,105.16,30.59,0
1.03,104.23,31.8,0
0.98,117.36,28.9,0
0.93,114.84,26.44,0
1.01,111.5,27.47,0
1.07,101.52,29.45,0
1.01,117.48,27.33,0
0.96,110.69,26.59,0
0.97,102.01,31.88,0
1.06,106.36,27.67,0
1.02,105.27,29.19,0
1.03,114.31,30.34,0
0.93,117.36,25.34,0
1.08,108.94,30.05,0
0.95,108.32,29.61,0
1.09,110.49,31.42,0
0.99,116.99,26.19,0
0.9,102.99,26.39,0
1.0,118.36,27.49,0
1.05,100.83,25.31,0
0.93,104.08,30.19,0
1.05,112.33,27.8,0
0.91,116.97,25.14,0
0.92,103.71,28.47,0
1.04,108.23,28.0,0
1.01,104.77,29.47,0
0.97,110.57,26.74,0
0.93,101.42,26.78,0
0.92,104.45,26.26,0
1.09,111.95,30.93,0
1.01,103.96,26.7,0
0.99,103.64,30.22,0
0.97,100.26,31.75,0
0.98,105.04,31.88,0
1.02,112.44,31.31,0
0.9,110.08,26.02,0
0.98,107.17,30.91,0
0.92,107.4,28.12,0
1.01,108.95,31.68,0
1.06,112.07,28.58,0
0.99,100.37,30.42,0
0.93,106.46,30.63,0
1.03,110.16,30.43,0
0.94,106.94,29.78,0
0.99,104.32,29.07,0
1.03,107.73,30.43,0
0.92,104.95,29.49,0
0.97,100.05,30.76,0
0.97,109.16,26.63,0
0.99,107.91,26.16,0
0.94,113.76,28.17,0
1.03,101.42,26.86,0
1.05,111.08,26.2,0
1.0,103.38,28.97,0
1.03,117.07,25.82,0
1.04,109.88,28.13,0
1.07,113.13,26.69,0
1.07,107.55,25.17,0
1.0,112.56,27.81,0
0.9,110.71,26.42,0
1.1,112.04,27.51,0
0.99,117.63,29.65,0
1.05,102.58,31.05,0
0.93,119.99,28.68,0
1.0,104.89,27.79,0
1.08,103.61,31.35,0
1.1,116.96,28.17,0
1.03,101.57,25.07,0
0.93,107.37,31.28,0
1.04,107.95,29.24,0
0.9,112.76,30.65,0
0.93,100.87,27.93,0
1.02,118.83,28.25,0
1.0,119.04,27.58,0
0.94,107.14,29.59,0
0.93,114.05,28.16,0
0.93,104.81,25.5,0
1.1,119.45,26.61,0
1.01,105.2,28.86,0
1.06,119.47,26.9,0
0.96,111.36,30.47,0
1.1,104.01,28.72,0
0.95,108.99,27.96,0
1.02,116.6,31.91,0
0.96,115.61,31.8,0
0.99,108.85,30.82,0
1.1,119.84,26.53,0
0.93,117.68,25.15,0
0.95,105.59,25.62,0
1.02,103.24,27.85,0
1.01,105.23,25.54,0
1.07,106.15,27.5,0
1.07,105.2,25.83,0
1.02,106.37,27.77,0
0.95,108.38,27.84,0
1.0,105.12,28.6,0
0.9,103.39,29.54,0
1.03,105.28,28.23,0
1.08,109.01,30.55,0
1.03,105.0,29.57,0
0.99,117.47,29.76,0
0.92,109.01,30.64,0
1.1,116.69,25.4,0
1.01,116.97,30.02,0
1.09,119.54,26.3,0
0.9,104.66,27.06,0
1.06,103.35,26.86,0
1.07,105.8,26.47,0
1.1,114.9,31.8,0
0.91,117.06,31.31,0
0.94,102.34,26.62,0
0.93,102.34,31.13,0
0.92,106.97,25.27,0
0.98,116.49,30.07,0
1.07,105.47,27.5,0
1.01,113.16,28.75,0
1.09,111.94,28.24,0
1.09,112.87,30.83,0
0.92,105.59,25.67,0
1.03,115.29,29.82,0
1.01,106.04,29.82,0
0.95,117.37,27.07,0
1.1,108.42,30.83,0
1.02,109.37,27.59,0
1.05,106.45,29.11,0
0.95,103.3,31.88,0
0.95,105.07,31.4,0
1.06,103.91,31.59,0
0.97,111.92,29.4,0
0.95,111.31,31.67,0
1.09,114.45,26.21,0
1.07,112.41,26.37,0
1.06,110.14,26.05,0
0.97,117.82,26.24,0
0.93,108.98,27.56,0
1.03,100.43,26.86,0
1.1,115.67,29.3,0
1.01,116.95,30.82,0
0.92,112.68,28.13,0
0.91,110.85,25.77,0
1.08,104.52,31.1,0
0.99,112.94,31.28,0
1.08,114.51,28.95,0
1.09,111.96,27.47,0
0.99,106.77,27.61,0
1.02,104.39,28.77,0
1.07,114.4,25.52,0
1.07,102.25,28.28,0
1.09,102.88,28.26,0
1.05,119.2,29.02,0
0.97,114.58,25.67,0
0.98,103.96,30.22,0
0.92,113.78,25.72,0
0.91,112.25,26.52,0
1.07,108.74,30.86,0
0.98,103.73,30.06,0
1.04,101.42,26.32,0
1.09,118.63,31.64,0
0.91,115.86,28.63,0
0.99,101.82,25.62,0
0.96,117.42,29.49,0
0.93,117.7,29.68,0
0.92,115.44,25.16,0
0.94,112.71,26.16,0
1.04,116.78,29.9,0
1.04,118.29,26.64,0
0.95,114.27,25.12,0
0.97,111.16,30.31,0
1.06,112.48,26.84,0
0.91,113.9,27.5,0
1.05,111.95,31.87,0
0.91,114.38,29.72,0
1.01,117.41,29.24,0
0.93,111.68,30.92,0
0.94,102.49,29.28,0
1.05,103.05,26.65,0
0.97,119.51,25.26,0
1.07,102.05,25.25,0
0.91,108.76,27.04,0
1.04,119.56,30.3,0
0.94,115.81,27.77,0
0.99,119.46,31.62,0
0.94,107.15,25.42,0
1.08,113.22,30.56,0
1.01,100.15,25.8,0
0.92,101.03,27.15,0
1.1,104.22,27.07,0
1.04,109.69,31.36,0
1.05,106.93,29.18,0
1.07,104.85,26.96,0
0.98,105.26,30.75,0
0.95,115.13,28.14,0
1.08,110.35,27.87,0
0.93,105.52,30.68,0
1.09,108.1,26.78,0
1.01,103.55,31.87,0
0.91,103.27,31.31,0
1.04,117.82,29.21,0
0.94,102.7,26.62,0
0.94,115.82,30.0,0
0.95,109.36,27.77,0
0.92,107.42,31.7,0
0.95,117.84,31.89,0
1.02,107.68,25.51,0
1.1,116.73,29.14,0
0.99,115.09,30.63,0
1.09,117.14,30.5,0
0.98,109.86,31.33,0
0.93,103.39,29.58,0
1.03,102.63,27.81,0
0.93,119.29,30.24,0
1.0,108.66,30.33,0
1.03,111.91,30.03,0
1.1,106.52,29.43,0
0.96,107.78,30.44,0
1.0,117.71,26.31,0
0.96,105.16,26.5,0
1.06,102.3,25.72,0
1.03,112.98,30.66,0
1.03,111.59,27.1,0
1.09,114.52,27.95,0
0.95,101.96,27.26,0
1.02,113.12,28.88,0
1.03,102.64,31.85,0
0.91,116.01,27.83,0
0.99,116.73,29.93,0
0.95,110.95,30.76,0
1.08,102.81,26.45,0
0.93,109.92,30.88,0
0.98,116.51,26.5,0
0.92,113.1,27.75,0
0.9,111.99,29.67,0
0.98,119.56,27.7,0
0.95,104.81,26.59,0
1.03,117.53,29.96,0
0.99,109.67,31.7,0
0.95,114.47,30.16,0
1.05,104.54,25.78,0
0.96,101.08,25.6,0
0.92,119.67,29.44,0
1.02,108.18,30.99,0
1.09,105.4,26.72,0
0.91,109.96,31.08,0
0.93,119.14,31.32,0
1.04,107.02,25.17,0
1.09,106.59,29.36,0
0.98,100.22,29.97,0
1.09,119.04,26.48,0
0.98,105.25,26.47,0
1.09,117.98,31.55,0
1.08,112.51,31.96,0
0.9,102.81,25.83,0
0.99,113.71,30.63,0
0.96,104.45,31.98,0
